ride_count,avg_ride_l,member_casual,route
202148,00:34:11.9981,"casual"," to "
11683,01:47:09.3666,"casual","Streeter Dr & Grand Ave to Streeter Dr & Grand Ave"
6111,01:46:28.7517,"casual","Millennium Park to Millennium Park"
5900,02:00:39.0149,"casual","Michigan Ave & Oak St to Michigan Ave & Oak St"
4669,01:34:20.8346,"casual","Lake Shore Dr & Monroe St to Lake Shore Dr & Monroe St"
3445,02:07:18.2896,"casual","Buckingham Fountain to Buckingham Fountain"
3309,01:07:36.4424,"casual","Streeter Dr & Grand Ave to Millennium Park"
3219,01:53:19.7278,"casual","Theater on the Lake to Theater on the Lake"
3116,01:26:24.8873,"casual","DuSable Lake Shore Dr & Monroe St to DuSable Lake Shore Dr & Monroe St"
3028,02:11:13.8830,"casual","Montrose Harbor to Montrose Harbor"
